ABrenner,Brensweets,Thu Jul 27 21:31:14 +0000 2017,"@byDavidGardner @KJ_NBA If you like Forrest Gump but hate the Departed it's time for some soul searching."
Kaylalash💋,KaylalashXD,Thu Jul 27 21:31:13 +0000 2017,"RT @NBA2K: #NBA2K18 features an Analytics Tool allowing you to plot any two statistics/metrics or vitals against each other. https://t.co/q…"
NewsInfoWorld,NewsInfoWorld_7,Thu Jul 27 21:31:13 +0000 2017,"Magic, guard Arron Afflalo agree to free agent deal https://t.co/RcwS7VSrnB https://t.co/4soR9yqWRE"
BB ❄️,tallkidd_bree,Thu Jul 27 21:31:12 +0000 2017,"RT @BBBaIIer: Paul Pierce was stabbed 11 times (total) in the face, back, and neck and still played all 82 games of the 2000-01 NBA season.…"
ㅤㅤ,xdaverxn,Thu Jul 27 21:31:12 +0000 2017,"RT @BBBaIIer: Random NBA fun facts thread: https://t.co/1bhJdnqlPj"
Angry fan,jongreene777,Thu Jul 27 21:31:10 +0000 2017,"RT @NBA2K: Your choices in #NBA2K18's MyGM: The Next Chapter will completely shape the story and how the outcome is determined. https://t.c…"
BIG BALLER GG,Tlvanest47,Thu Jul 27 21:31:10 +0000 2017,"RT @NBA2K: Your choices in #NBA2K18's MyGM: The Next Chapter will completely shape the story and how the outcome is determined. https://t.c…"
#CTTV,MXsouthafrica,Thu Jul 27 21:31:10 +0000 2017,"RT @JesseKriel15: These new NBA caps are too fresh 🔥🏀 , the Bulls one definitely my favorite 😉🐮 - Go and Grab yours https://t.co/0BasaViBKb…"
MaschineLife.com,A1rWick,Thu Jul 27 21:31:09 +0000 2017,"RT @BBBaIIer: The largest margin of victory in an NBA game is 68.

The Cavs beat the Heat 148-80 on December 17, 1991. https://t.co/oMN5P8R…"
Tony Dabtana,TonyKupka12,Thu Jul 27 21:31:09 +0000 2017,"RT @NBA2K: Your choices in #NBA2K18's MyGM: The Next Chapter will completely shape the story and how the outcome is determined. https://t.c…"
THE P1 FITZY 🏈,PhenomenalFitzy,Thu Jul 27 21:31:09 +0000 2017,"RT @warriors: Steph is making the most of his time on the #SC30AsiaTour » https://t.co/mgEuII7WOT https://t.co/qYFEQkVmzg"
Thunder France,ThunderFrance_,Thu Jul 27 21:31:09 +0000 2017,"Un nouveau dans la communauté NBA France allez vous abonner a @TrailblazersFR pour lui souhaiter la bienvenue !"
21 Quen 🃏,QB_SaidIt,Thu Jul 27 21:31:09 +0000 2017,"RT @BBBaIIer: Derek Fisher holds the NBA record for most Playoff games ever played, with 259. 

He played 18 seasons and made the Playoffs…"
ɢʟɢ OGSplashNasty 🌊🏀,iAmOGP,Thu Jul 27 21:31:07 +0000 2017,"I liked a @YouTube video https://t.co/AhyHREA05o NBA 2K18 MyGM INFO LEAKED IMPORTANT MyPARK/MyCAREER INFO!! (MUST WATCH)"
Nana Boa-Appiah,NBA_GH,Thu Jul 27 21:31:07 +0000 2017,"RT @Mourinholic: Find someone who looks at you the same way Lionel Messi and Neymar Jr look at Paul Pogba. https://t.co/wqhmtz44Wa"
Jboogie,BoogieLivinLife,Thu Jul 27 21:31:07 +0000 2017,"RT @AlexKennedyNBA: Shane Larkin explains why he chose an NBA comeback over larger offers overseas and why he joined the Boston Celtics: ht…"
Peace,take_a_Peace,Thu Jul 27 21:31:07 +0000 2017,"RT @BBBaIIer: Maravich once said, "I don't want to play in the NBA for 10 years, die of a heart attack at age 40" 

He played 10 years and…"
SoDo Slayer,SoDoSlayer,Thu Jul 27 21:31:06 +0000 2017,"Insulting. KeyArena is insulting to the NBA and possibily the NHL. NHL will settle. NBA won't.  NBA wants a "Classy… https://t.co/x8NmKJYNtT"
そうへい,bballsou,Thu Jul 27 21:31:06 +0000 2017,"RT @NBA: The TOP 10 @ChicagoBulls PLAYS from the 2016-17 season! #BESTofNBA https://t.co/zJlcRvyuP0"
Eric Griffith,EricG_NBA,Thu Jul 27 21:31:05 +0000 2017,"Had to quadruple check that this wasn't from the satire section. https://t.co/HhP2s02seF"
HispanosNBA,hispanosnba,Thu Jul 27 21:31:05 +0000 2017,"Jan Vesely aparca su retorno a la NBA y se queda en Turquía https://t.co/z0XtfPGVay #NBA"
NBA Vault,NBA_Vault_,Thu Jul 27 21:31:05 +0000 2017,"RT @zackboff: Y'all help me out 🙏🏻🙏🏻🙏🏻 @SDinwiddie_25 https://t.co/oCG3IzTMjQ"
Sean,DseanLoyd,Thu Jul 27 21:31:04 +0000 2017,"RT @NBA2K: Your choices in #NBA2K18's MyGM: The Next Chapter will completely shape the story and how the outcome is determined. https://t.c…"
Timberwolves Fans,WolvesViews,Thu Jul 27 21:31:04 +0000 2017,"#LetsGoWolves #TWolves BIG3 Week 6: Should we begin the MVP discussion as we head to Dallas? https://t.co/ndMMGZaQ0W"
Easyman_93,Whist_93,Thu Jul 27 21:31:04 +0000 2017,"RT @NBA2K: Your choices in #NBA2K18's MyGM: The Next Chapter will completely shape the story and how the outcome is determined. https://t.c…"
John Camp,JohnCam05,Thu Jul 27 21:31:01 +0000 2017,"RT @TheCrossover: Taj Gibson donates $20,000 to young daughter of woman killed in shooting
https://t.co/1BN939JdGF https://t.co/Pr9VE7dDmm"
Footie Live,_FootieLive,Thu Jul 27 21:31:00 +0000 2017,"QUIZ: How well do you know potential Cleveland Cavaliers trade target Eric Bledsoe?
 https://t.co/zyG8yDHc8j #NBA"
BlaneHits,BlaneHits,Thu Jul 27 21:30:59 +0000 2017,"@ekoreen His game fits what NBA centres are today. Great athlete with good interior D. His game is way better suited for todays NBA than JV"
Peace,take_a_Peace,Thu Jul 27 21:30:58 +0000 2017,"RT @BBBaIIer: Manute Bol (7'7) is the tallest player to ever play in the NBA, while Muggsy Bogues (5'3) is the shortest. 

They played on t…"
The Sporty Mouth,dsportymouth,Thu Jul 27 21:30:58 +0000 2017,"RT @NBA2K: #NBA2K18's MyGM: The Next Chapter is a completely NEW take on franchise modes with its story-driven narrative! https://t.co/q93R…"
Smooth🕴🏾Operator,_DK_01,Thu Jul 27 21:30:58 +0000 2017,"RT @BBBaIIer: 7-foot tall American males have a 17% chance of playing in the NBA. https://t.co/y9nNj7CaAP"
